Pattern,Meaning,Level,Usage,ExampleJapanese,ExampleVietnamese,CorrectCount,WrongCount,IsDifficult
に代わって,Thay cho/thay mặt,N3,"Cấu trúc: N + に代わって.
Cách dùng: Dùng để diễn tả: thay cho/thay mặt.",部長に代わって私が説明します。,Tôi sẽ giải thích thay cho trưởng phòng.,0,0,False
に慣れる,Quen với một cái gì đó,N3,"Cấu trúc: N / Vること + に慣れる.
Cách dùng: Dùng để diễn tả: quen với một cái gì đó.",日本の生活に慣れてきました。,Tôi đã dần quen với cuộc sống ở Nhật.,0,0,False
において,"Tại, ở, trong",N3,"Cấu trúc: N + において.
Cách dùng: Dùng để diễn tả: tại, ở, trong.",会議は東京において行われます。,Cuộc họp sẽ được tổ chức tại Tokyo.,0,0,False
に対して,Đối với,N3,"Cấu trúc: N + に対して.
Cách dùng: Dùng để diễn tả: đối với.",先生に対して失礼なことを言ってはいけません。,Không được nói điều thất lễ với giáo viên.,0,0,False
にとって,Đối với,N3,"Cấu trúc: N + にとって.
Cách dùng: Dùng để diễn tả: đối với.",私にとって家族が一番大切です。,"Đối với tôi, gia đình là quan trọng nhất.",0,0,False
について,Về,N3,"Cấu trúc: N + について.
Cách dùng: Dùng để diễn tả: về.",日本文化について調べています。,Tôi đang tìm hiểu về văn hóa Nhật.,0,0,False
によれば,Theo... / Dựa vào,N3,"Cấu trúc: N + によれば.
Cách dùng: Dùng để diễn tả: theo… / Dựa vào.",ニュースによれば、明日は雨だそうです。,Theo tin tức thì nghe nói ngày mai trời mưa.,0,0,False
によって,Được/bởi,N3,"Cấu trúc: N + によって.
Cách dùng: Dùng để diễn tả: được/bởi.",国によって習慣が違います。,Tùy theo quốc gia mà phong tục khác nhau.,0,0,False
に～れる,Bị(ai đó/ cái gì đó),N3,"Cấu trúc: N + に + 受身形.
Cách dùng: Dùng để diễn tả: bị(ai đó/ cái gì đó).",私は先生に褒められました。,Tôi đã được giáo viên khen.,0,0,False
に比べて,So với,N3,"Cấu trúc: N + に比べて.
Cách dùng: Dùng để diễn tả: so với.",去年に比べて、今年は暑いです。,"So với năm ngoái, năm nay nóng hơn.",0,0,False
にしても,Cho dù,N3,"Cấu trúc: N / thể thông thường + にしても.
Cách dùng: Dùng để diễn tả: cho dù.",行くにしても、早く出た方がいいです。,Dù có đi thì cũng nên đi sớm.,0,0,False
にしては,Vậy mà,N3,"Cấu trúc: N / thể thông thường + にしては.
Cách dùng: Dùng để diễn tả: vậy mà.",初めてにしては、よくできました。,Lần đầu mà làm được như vậy là tốt rồi.,0,0,False
の,Việc(danh từ),N3,"Cấu trúc: thể thông thường + の.
Cách dùng: Dùng để diễn tả: việc(danh từ).",本を読むのが好きです。,Tôi thích việc đọc sách.,0,0,False
おかげで,Nhờ vào/nhờ có,N3,"Cấu trúc: Nの / thể thông thường + おかげで.
Cách dùng: Dùng để diễn tả: nhờ vào/nhờ có.",先生のおかげで合格できました。,Nhờ giáo viên mà tôi đã đậu.,0,0,False
っぱなし,"Để nguyên,giữ nguyên",N3,"Cấu trúc: Vます + っぱなし.
Cách dùng: Dùng để diễn tả: để nguyên,giữ nguyên.",窓を開けっぱなしにしないでください。,Đừng để cửa sổ mở nguyên như vậy.,0,0,False
っぽい,Giống như là,N3,"Cấu trúc: N / Aい語幹 / Vます + っぽい.
Cách dùng: Dùng để diễn tả: giống như là.",この服は少し子どもっぽいです。,Bộ đồ này hơi trẻ con.,0,0,False
らしい,Cảm thấy như là.../giống như là,N3,"Cấu trúc: N / thể thông thường + らしい.
Cách dùng: Dùng để diễn tả: cảm thấy như là…/giống như là.",今日は雨が降るらしいです。,Hình như hôm nay trời sẽ mưa.,0,0,False
れる,Bị/được(bị động),N3,"Cấu trúc: 受身形.
Cách dùng: Dùng để diễn tả: bị/được(bị động).",私は友達に写真を撮られました。,Tôi đã bị bạn chụp ảnh.,0,0,False
さ,Độ(danh từ)...,N3,"Cấu trúc: Aい語幹 + さ.
Cách dùng: Dùng để diễn tả: độ(danh từ)….",この山の高さは三千メートルです。,Độ cao của ngọn núi này là 3000 mét.,0,0,False
さえ,Ngay cả.../thậm chí,N3,"Cấu trúc: N + さえ.
Cách dùng: Dùng để diễn tả: ngay cả…/thậm chí.",忙しくて昼ご飯を食べる時間さえありません。,Bận đến mức ngay cả thời gian ăn trưa cũng không có.,0,0,False
最中に,"Đúng lúc đang,ngay giữa lúc đang",N3,"Cấu trúc: Vている / Nの + 最中に.
Cách dùng: Dùng để diễn tả: đúng lúc đang,ngay giữa lúc đang.",食事の最中に電話が鳴りました。,Đang lúc ăn thì điện thoại reo.,0,0,False
せいで,Vì/do,N3,"Cấu trúc: Nの / thể thông thường + せいで.
Cách dùng: Dùng để diễn tả: vì/do.",雨のせいで試合が中止になりました。,Vì mưa mà trận đấu bị hủy.,0,0,False
せいぜい,Tối đa/ nhiều lắm cũng chỉ,N3,"Cấu trúc: せいぜい + số lượng.
Cách dùng: Dùng để diễn tả: tối đa/ nhiều lắm cũng chỉ.",ここから駅まで歩いてせいぜい十分です。,Từ đây đến ga đi bộ nhiều lắm cũng chỉ 10 phút.,0,0,False
せてください,Có thể cho phép tôi ~ làm gì,N3,"Cấu trúc: 使役て形 + ください.
Cách dùng: Dùng để diễn tả: có thể cho phép tôi ~ làm gì.",少し休ませてください。,Xin hãy cho tôi nghỉ một chút.,0,0,False
しばらく,Một lúc/ trong một thời gian,N3,"Cấu trúc: しばらく + câu.
Cách dùng: Dùng để diễn tả: một lúc/ trong một thời gian.",しばらくここで待っていてください。,Hãy đợi ở đây một lúc.,0,0,False
しかない,Chỉ có thể,N3,"Cấu trúc: Vる + しかない.
Cách dùng: Dùng để diễn tả: chỉ có thể.",終電がないので、タクシーで帰るしかありません。,Vì không còn chuyến tàu cuối nên chỉ còn cách về bằng taxi.,0,0,False
その結果,Kết qủa là,N3,"Cấu trúc: その結果 + câu.
Cách dùng: Dùng để diễn tả: kết qủa là.",毎日練習しました。その結果、上手になりました。,Tôi đã luyện tập mỗi ngày. Kết quả là đã giỏi lên.,0,0,False
そのために,Vì thế/do đó,N3,"Cấu trúc: そのために + câu.
Cách dùng: Dùng để diễn tả: vì thế/do đó.",日本で働きたいです。そのために日本語を勉強しています。,Tôi muốn làm việc ở Nhật. Vì mục tiêu đó tôi đang học tiếng Nhật.,0,0,False
その上,Thêm vào đó/hơn nữa,N3,"Cấu trúc: その上 + câu.
Cách dùng: Dùng để diễn tả: thêm vào đó/hơn nữa.",この店は安いです。その上、おいしいです。,Quán này rẻ. Hơn nữa còn ngon.,0,0,False
それと,Và/vẫn còn,N3,"Cấu trúc: それと + câu.
Cách dùng: Dùng để diễn tả: và/vẫn còn.",牛乳を買ってきて。それと、卵もお願い。,Mua sữa giúp tôi. Với lại mua cả trứng nữa nhé.,0,0,False
それとも,Hay là/hoặc là,N3,"Cấu trúc: A、それともB.
Cách dùng: Dùng để diễn tả: hay là/hoặc là.",コーヒーにしますか。それとも紅茶にしますか。,Bạn chọn cà phê hay trà?,0,0,False
すでに,Đã...rồi,N3,"Cấu trúc: すでに + câu.
Cách dùng: Dùng để diễn tả: đã…rồi.",会議はすでに始まっています。,Cuộc họp đã bắt đầu rồi.,0,0,False
少しも～ない,Một chút cũng không,N3,"Cấu trúc: 少しも + thể phủ định.
Cách dùng: Dùng để diễn tả: một chút cũng không.",彼の話は少しも分かりませんでした。,Tôi chẳng hiểu chút nào câu chuyện của anh ấy.,0,0,False
たところ,Sau khi thử làm,N3,"Cấu trúc: Vた + ところ.
Cách dùng: Dùng để diễn tả: sau khi thử làm.",先生に聞いたところ、試験は来週だそうです。,Sau khi hỏi giáo viên thì nghe nói kỳ thi là tuần sau.,0,0,False
たとたんに,Vừa mới(làm gì)thì...,N3,"Cấu trúc: Vた + とたんに.
Cách dùng: Dùng để diễn tả: vừa mới(làm gì)thì….",家を出たとたんに雨が降り出しました。,Vừa ra khỏi nhà thì trời bắt đầu mưa.,0,0,False
たびに,"Mỗi khi,mỗi lần",N3,"Cấu trúc: Vる / Nの + たびに.
Cách dùng: Dùng để diễn tả: mỗi khi,mỗi lần.",この写真を見るたびに、旅行を思い出します。,"Mỗi lần nhìn bức ảnh này, tôi lại nhớ chuyến du lịch.",0,0,False
確かに,Chắc chắn/Không sai/chính xác là như vậy,N3,"Cấu trúc: 確かに + câu.
Cách dùng: Dùng để diễn tả: chắc chắn/Không sai/chính xác là như vậy.",確かにこの方法は便利です。,Đúng là cách này tiện thật.,0,0,False
たて,Mới...xong,N3,"Cấu trúc: Vます + たて.
Cách dùng: Dùng để diễn tả: mới…xong.",焼きたてのパンはおいしいです。,Bánh mì mới nướng rất ngon.,0,0,False
