Kanji,Hiragana,Meaning,Level,Example,CorrectCount,WrongCount,IsDifficult
招く,まねく,"Mời, kéo theo, dẫn đến",N2,①先日（せんじつ）、部長（ぶちょう）のお宅（たく）に招（まね）かれた。,0,0,False
気配り＜する＞,きくばり＜する＞,"Sự chu đáo, sự quan tâm",N2,アルバイト先（さき）の先輩（せんぱい）の気配（きくば）りを見習（みなら）いたい。,0,0,False
込める,こめる,"Với, bao gồm",N2,感謝（かんしゃ）の気持（きも）ちを込（こ）めて、先生（せんせい）へのプレゼントを選（えら）んだ。,0,0,False
同期,どうき,"Cùng kỳ, cùng thời gian",N2,彼（かれ）は会社（かいしゃ）の同期（どうき）と、とても仲（なか）がいい。,0,1,True
ぐち,ぐち,Sự than vãn,N2,毎晩（まいばん）居酒屋（いざかや）で同期（どうき）とぐちをこぼしている。,0,0,False
大いに,おおいに,"Nhiều, rất",N2,今日（きょう）は大（おお）いに飲（の）んで楽（たの）しもう。,0,0,False
カップル,カップル,"Cặp, cặp đôi",N2,彼（かれ）らは似合（にあ）いのカップルだ。,0,0,False
愛,あい,Tình yêu,N2,愛（あい）を込（こ）めて、彼女（かのじょ）にメッセージを送（おく）る。,0,0,False
同士,どうし,Cũng là ~,N2,恋人（こいびと）司（つかさ）士（し）が見（み）つめ合（あ）う。,0,0,False
[お]互い[に],[お]たがい[に],Cùng nhau,N2,二人（ふたり）はお互いの性格（せいかく）が気に入（きにい）った。,0,0,False
つり合う,つりあう,Hợp,N2,僕（ぼく）が彼女（かのじょ）とつり合っているかどうか心配（しんぱい）だ。,0,0,False
むしろ,むしろ,"Ngược lại, thà ~ hơn là",N2,完（かん）ぺきな人（ひと）より、むしろ欠点（けってん）のある人（ひと）の方（ほう）が好（す）きだ。,1,0,False
いわば,いわば,"Có thể nói, như là ~",N2,彼女（かのじょ）は僕（ぼく）にとって、いわば太陽（たいよう）のような人（ひと）だ。,0,0,False
視線,しせん,Ánh mắt,N2,二人（ふたり）は、しばらく視線（しせん）を合（あ）わせなかった。,0,0,False
見つめる,みつめる,Nhìn chằm chằm,N2,彼女（かのじょ）をじっと見（み）つめていた。,0,0,False
そらす,そらす,Lảng tránh,N2,彼女（かのじょ）に気（き）づかれて、目（め）をそらした。,0,0,False
ちらっと,ちらっと,"Liếc nhìn, nhìn thoáng qua",N2,好（す）きな人（ひと）が隣（となり）の席（せき）に座（すわ）ったので、ちらっと見（み）た。,0,0,False
もしかすると,もしかすると,"Biết đâu chừng, có lẽ",N2,もしかすると、彼（かれ）は私（わたし）のことが好（す）きかもしれない。,0,0,False
探る,さぐる,"Thăm dò, lục lọi",N2,①友達（ともだち）に頼（たの）んで、彼女（かのじょ）の気持（きも）ちを探（さぐ）ってもらった。,0,0,False
示す,しめす,"Thể hiện, đưa ra",N2,①彼（かれ）は彼女（かのじょ）に自分（じぶん）の気持（きも）ちを示（しめ）せない。,0,0,False
口実,こうじつ,Viện lý do,N2,試験（しけん）勉強（べんきょう）を口実（こうじつ）にして、彼女（かのじょ）と図書（としょ）馆で会（あ）った。,0,0,False
うつむく,うつむく,"Nhìn xuống, cuối xuống",N2,彼女（かのじょ）は恥（は）ずかしそうにうつむいた。,0,0,False
こそこそ＜する＞,こそこそ＜する＞,"Lén lút, vụng trộm, thì thào",N2,親（おや）に内緒（ないしょ）にして、こそこそ付き合（つきあ）うのは嫌（いや）だ。,0,0,False
ささやく,ささやく,"Thì thầm, nói khẽ",N2,彼（かれ）は、やさしい声（こえ）で「愛（あい）してる」とささやいた。,0,0,False
禁物,きんもつ,Điều cấm kỵ,N2,私（わたし）達（たち）の間（ま）で、うそは禁物（きんもつ）だ。,0,0,False
許す,ゆるす,"Tha thứ, cho phép",N2,彼（かれ）にうそをついたことを謝（あやま）って、許（ゆる）してもらった。,0,0,False
合コン,ごうコン,Tiệc gặp mặt làm quen,N2,二人（ふたり）は合（ごう）コンで知り合（しりあ）ったそうだ。,0,0,False
アプローチ＜する＞,アプローチ＜する＞,Sự tiếp cận,N2,先（さき）にアプローチしたのは彼（かれ）だった。,0,0,False
運命,うんめい,"Định mệnh, số phận",N2,彼女（かのじょ）こそ、僕（ぼく）の運命（うんめい）の人（ひと）だ。,0,0,False
決意＜する＞,けつい＜する＞,"Sự quyết ý, quyết định",N2,ついに彼女（かのじょ）との結婚（けっこん）を決意（けつい）した。,0,0,False
プロポーズ＜する＞,プロポーズ＜する＞,"Lời cầu hôn, sự cầu hôn",N2,指輪（ゆびわ）を贈（おく）って、彼女（かのじょ）にプロポーズした。,0,0,False
誓う,ちかう,Thề,N2,みんなの前（まえ）で愛（あい）を誓（ちか）った。,0,0,False
花嫁,はなよめ,Cô dâu,N2,彼女（かのじょ）の花嫁（はなよめ）姿（すがた）は、きっと美（うつく）しいだろう。,0,0,False
起床＜する＞,きしょう＜する＞,Sự thức dậy,N2,毎朝（まいあさ）、6時（じ）に起床（きしょう）している。,0,0,False
もたれる,もたれる,"Dựa vào, nặng (bụng)",N2,①壁（かべ）にもたれて、歯（は）をみがく。,0,0,False
フレッシュな,フレッシュな,"Tươi ngon, tươi mát",N2,毎朝（まいあさ）、フレッシュな野菜（やさい）ジュースを作（つく）って飲（の）んでいる。,0,0,False
乳製品,にゅうせいひん,Sản phẩm làm từ sữa,N2,朝（あさ）ご飯は乳製品（にゅうせいひん）とサラダだ。,0,0,False
洗い物,あらいもの,"Đồ để rửa, việc rửa",N2,食事（しょくじ）が終（お）わったら、洗い物（あらいもの）をする。,0,0,False
欠かす,かかす,"Thiếu, khuyết, bỏ sót",N2,毎朝（まいあさ）欠（か）かさず、ジョギングをする。,0,0,False
配達＜する＞,はいたつ＜する＞,"Sự phát, phân phối",N2,朝（あさ）、新聞（しんぶん）配達（はいたつ）のバイトをしている。,1,0,False
見出し,みだし,Đầu đề,N2,ネットニュースの見出（みだ）しをざっと見（み）る。,0,0,False
一切（〜ない）,いっさい（〜ない）,Hoàn toàn (không ~),N2,,0,0,False
合間,あいま,"Thời gian trống, thời gian rảnh",N2,洗濯（せんたく）の合間（あいま）にネットでニュースを読（よ）む。,0,0,False
てきぱき[と] ＜する＞,てきぱき[と] ＜する＞,"Nhanh chóng, mau lẹ",N2,家事（かじ）をてきぱきと片付（かたづ）け、出（で）かける準備（じゅんび）をする。,0,0,False
問,ま,"Thời gian, khoảng trống",N2,出（で）かけるまでに少（すこ）し問（とい）がある。,0,0,False
周辺,しゅうへん,"Xung quanh, quanh",N2,毎日（まいにち）、公園（こうえん）の周辺（しゅうへん）を30分歩（ある）く。,0,0,False
周囲,しゅうい,"Xung quanh, chu vi",N2,朝（あさ）ご飯の前（まえ）に、家（いえ）の周囲（しゅうい）を犬（いぬ）と散歩（さんぽ）する。,0,0,False
あと,あと,"Nữa, sau",N2,あと5分でバスが来（く）る。急（いそ）がなきゃ。,0,0,False
すれ違う,すれちがう,"(Đi, gặp) ngược chiều",N2,ごみを出（だ）しに行（い）くと、いつも隣（となり）の人（ひと）とすれ違う。,0,0,False
はう,はう,Bò ra,N2,コンタクトを落（お）として、床（ゆか）の上（うえ）をはって探（さが）した。,0,0,False
替える,かえる,"Thay, đổi",N2,出（で）かける前（まえ）にバッグを替（か）えた。,0,0,False
整える,ととのえる,"Chỉnh đốn, trang bị",N2,①服装（ふくそう）を整（ととの）えて、出（で）かける。,0,0,False
ろくに（〜ない）,,"Đầy đủ, tốt",N2,この頃（ころ）ろくに寝（ね）ていないので、午前（ごぜん）中（ちゅう）は眠（ねむ）い。,0,0,False
接近＜する＞,せっきん＜する＞,"Sự tiếp cận, đến gần",N2,台風（たいふう）が日本（にほん）に接近（せっきん）している。,0,0,False
備える,そなえる,"Chuẩn bị, phòng bị, đối phó với",N2,台風（たいふう）に備（そな）えて、社員（しゃいん）は早（はや）めに退社（たいしゃ）した。,0,0,False
砂,すな,Cát,N2,砂（すな）を袋（ふくろ）に詰（つ）めて、家（いえ）の前（まえ）に積（つ）む。,0,0,False
あふれる,あふれる,"Tràn, ngập",N2,大雨（おおあめ）で川（かわ）の水（みず）があふれている。,0,0,False
降水量,こうすいりょう,Lượng nước mưa,N2,今月（こんげつ）、この地域（ちいき）では例年（れいねん）にない降水（こうすい）量（りょう）を記録（きろく）した。,0,0,False
観測＜する＞,かんそく＜する＞,"Sự quan trắc, đo đạc",N2,最近（さいきん）、日本（にほん）の各地（かくち）で地震（じしん）を観測（かんそく）している。,1,0,False
大気,たいき,"Không khí, khí trời",N2,今週（こんしゅう）は大気（たいき）が不安定（ふあんてい）だ。,0,0,False
荒れる,あれる,"(Biển) động, (da) khô, nứt nẻ",N2,①天気（てんき）予報（よほう）によると、明日（あした）は海（うみ）が荒（あ）れるそうだ。,0,0,False
傾く,たかむく,"Nghiêng, có chiều hướng đi xuống",N2,①台風（たいふう）で大（おお）きな木（き）が傾（かたむ）いた。,0,0,False
またぐ,またぐ,"Băng qua, vượt qua",N2,倒（たお）れた木（き）をまたいで、先（さき）に進（すす）む。,0,0,False
応答＜する＞,おうとう＜する＞,"Tiếng đáp trả, sự hồi âm",N2,家（いえ）が崩（くず）れた現場（げんば）で名前（なまえ）を呼（よ）んだが、応答（おうとう）がない。,0,0,False
静まる,しずまる,"Tĩnh lặng, lắng xuống, dịu đi",N2,夜（よる）になって、雨（あめ）も風（かぜ）も静（しず）まった。,0,0,False
もたらす,もたらす,"Gây nên, mang đến",N2,台風（たいふう）が、この地域（ちいき）に大（おお）きな被害（ひがい）をもたらした。,0,0,False
及ぼす,およぼす,"Gây hại, gây ảnh hưởng",N2,台風（たいふう）が農業（のうぎょう）に大（おお）きな被害（ひがい）を及（およ）ぼした。,0,0,False
及ぶ,およぶ,"Đến mức, đạt mức",N2,地震（じしん）の被害（ひがい）は数（すう）十（じゅう）億（おく）円（えん）に及（およ）んだ。,0,0,False
去る,さる,"Rời đi, bỏ đi",N2,大型（おおがた）咍風が、ようやく去（さ）った。,0,0,False
ひとまず,ひとまず,"Tạm thời, trước mắt",N2,台風（たいふう）が去（さ）り、ひとまず安心（あんしん）だ。,1,0,False
直後,ちょくご,Ngay sau khi,N2,スマホが鳴（な）った直後（ちょくご）、地震（じしん）が起（お）きた。,0,0,False
行動＜する＞,こうどう＜する＞,"Hành động, hoạt động",N2,地震（じしん）です。皆（みな）さん、落ち着（おちつ）いて行動（こうどう）してください。,0,0,False
万一,まんいち,Chẳng may,N2,万一（まんいち）、大（だい）地震（じしん）が起（お）きたときに備（そな）えておく。（副（ふく））,0,1,True
傾向,けいこう,Khuynh hướng,N2,台風（たいふう）などの天災（てんさい）が最近（さいきん）増（ふ）える傾向（けいこう）にある。,0,0,False
達する,たっする,Đạt,N2,台風（たいふう）の被害（ひがい）は5億（おく）円（えん）に達（たっ）した。,0,0,False
災害,さいがい,Tai họa,N2,常（つね）に災害（さいがい）に備（そな）えておくことが大切（たいせつ）だ。,0,0,False
病む,やむ,Đau,N2,現代（げんだい）は心（こころ）を病（や）んでいる人（ひと）が少（すく）なくない。,0,0,False
負傷＜する＞,ふしょう＜する＞,Vết thương,N2,事故（じこ）で負傷（ふしょう）し、救急（きゅうきゅう）車（しゃ）で運（はこ）ばれた。,0,0,False
重体,じゅうたい,Tình trạng nguy kịch,N2,車（くるま）にひかれた人（ひと）が重体（じゅうたい）になっている。,0,0,False
熱中症,ねっちゅうしょう,"Chứng sốc nhiệt, say nắng",N2,この季節（きせつ）は熱中（ねっちゅう）症（しょう）に気（き）をつけなければいけない。,0,0,False
細菌,さいきん,"Vi khuẩn, vi trùng",N2,傷口（きずぐち）から細菌（さいきん）が入（はい）ったようだ。,0,0,False
つまずく,つまずく,"Vấp, sẩy chân, trượt chân",N2,①つまずいて転（ころ）んでしまい、足（あし）を骨折（こっせつ）した。,0,0,False
医療,いりょう,Y tế,N2,日本（にほん）の医療（いりょう）は、かなり進（すす）んでいる。,0,0,False
高度＜な＞,こうど＜な＞,"Trình độ cao, cao độ",N2,この病院（びょういん）なら、高度（こうど）な医療（いりょう）が受（う）けられる。,0,0,False
実績,じっせき,Thành tích thực tế,N2,手術（しゅじゅつ）の実績（じっせき）で病院（びょういん）を選（えら）ぶ。,0,0,False
負担＜する＞,ふたん＜する＞,Phí tổn,N2,この病気（びょうき）は治療（ちりょう）費（ひ）の負担（ふたん）が大（おお）きい。,0,0,False
適用＜する＞,てきよう＜する＞,Sự áp dụng,N2,この病気（びょうき）の治療（ちりょう）には保険（ほけん）が適用（てきよう）される。,0,0,False
手当て,てあて,"Sự chăm sóc, trợ cấp",N2,けがをしたので、すぐに手当（てあ）てをした。,0,0,False
尽くす,つくす,"Dốc hết sức, dốc cạn",N2,医（い）都（と）母（はは）の治療（ちりょう）に全力（ぜんりょく）を尽（つ）くしてくれた。,0,0,False
薬品,やくひん,"Dược phẩm, thuốc men",N2,薬品（やくひん）の扱（あつか）いには十分（じゅうぶん）に注意（ちゅうい）する。,0,0,False
作用＜する＞,さよう＜する＞,Tác dụng,N2,説明（せつめい）書（しょ）を読（よ）んで、薬（くすり）の作用（さよう）を知（し）る。,0,0,False
目安,めやす,"Độ chừng, tiêu chuẩn",N2,大人（おとな）は1回（かい）、3粒（つぶ）を目安（めやす）に飲（の）んでください。,0,0,False
副作用,ふくさよう,Tác dụng phụ,N2,薬（くすり）の副作用（ふくさよう）で気分（きぶん）が悪（わる）くなることがある。,0,0,False
余計[に],よけい[に],"Hơn (ngoài mong muốn), nhiều hơn, không cần thiết, dư thừa",N2,①薬（やく）を飲（の）んだら、余計（よけい）に気分（きぶん）が悪（わる）くなった。,0,0,False
余計な,よけいな,Không cần thiết,N2,家族（かぞく）に余計（よけい）な心配（しんぱい）をかけたくない。,0,0,False
もむ,もむ,"Đấm, bóp, chà xát",N2,肩（かた）が凝（こ）ったので、友達（ともだち）にもんでもらった。,1,0,False
告げる,つげる,"Sự thông báo, thông cáo",N2,医師（いし）に病名（びょうめい）を告（つ）げられ、ショックだった。,0,0,False
覚悟＜する＞,かくご＜する＞,"Sự sẵn sàng, chuẩn bị tinh thần",N2,医者（いしゃ）と話（はな）し、最悪（さいあく）の場合（ばあい）を覚悟（かくご）した。,0,0,False
看病＜する＞,かんびょう＜する＞,Sự chăm bệnh,N2,かぜをひいて、彼女（かのじょ）に看病（かんびょう）してもらった。,0,0,False
配慮＜する＞,はいりょ＜する＞,"Sự lưu tâm, lo lắng",N2,あの医師（いし）は患者（かんじゃ）への配慮（はいりょ）が不足（ふそく）している。,0,0,False
遺伝＜する＞,いでん＜する＞,Sự truyền đi,N2,この病気（びょうき）は遺伝（いでん）するらしい。,0,0,False
克服＜する＞,こくふく＜する＞,"Sự khắc phục, chinh phục",N2,病気（びょうき）を克服（こくふく）して、仕事（しごと）に戻（もど）った。,0,0,False
リハビリ,リハビリ,"Vật lý trị liệu, phục hồi chức năng",N2,しばらくは、病院（びょういん）でリハビリを続（つづ）ける。,0,0,False
処分＜する＞,しょぶん＜する＞,"Sự bỏ đi, xử lý, giải quyết, xử phạt",N2,①壊（こわ）れたコピー機（き）を処分（しょぶん）した。,0,0,False
不用品,ふようひん,Đồ dùng không cần thiết,N2,不（ふ）用品（ようひん）はリサイクルショップに売（う）ろう。,0,0,False
はがす,はがす,Gỡ ra,N2,ポスターを壁（かべ）からきれいにはがす。,0,0,False
束,たば,Bó,N2,本（ほん）は束（たば）にして、ひもでしばる。,0,0,False
しばる,しばる,"Trói, bó, buộc",N2,荷物（にもつ）のひもを、きちんとしばって運（はこ）ぶ。,0,0,False
段ボール,だんボール,"Thùng các-tông, thùng giấy",N2,本（ほん）を段（だん）ボールに入（い）れて、トラックに積（つ）む。,0,0,False
ガムテープ,ガムテープ,Băng keo vải,N2,段（だん）ボールのふたをガムテープで留（と）める。,0,0,False
押し込む,おしこむ,"Nhấn vào, ấn vào, nhét vào",N2,段（だん）ボールに洋服（ようふく）を押し込（おしこ）んだ。,0,0,False
リスト,リスト,Danh sách,N2,引っ越（ひっこ）しのときに、することをリストに書（か）く。,0,0,False
引っ掛かる,ひっかかる,"Mắc phải, vướng",N2,①机（つくえ）の足（あし）が引っ掛（ひっか）かって、部屋（へや）に入（はい）らない。,0,0,False
持ち上げる,もちあげる,"Cầm lên, nâng lên",N2,ベッドを持ち上（もちあ）げて、掃除（そうじ）機（き）をかける。,0,0,False
担ぐ,かつぐ,"Vác, nâng",N2,隣（となり）のアパートに引っ越（ひっこ）したので、荷物（にもつ）は担（かつ）いで運（はこ）んだ。,0,0,False
くたびれる,くたびれる,"Mệt nhoài, kiệt sức, tả tơi",N2,①くたびれたので、少（すこ）し休（やす）もう。,0,0,False
すき間,すきま,Khoảng trống,N2,家具（かぐ）のすき間に、たまったほこりを掃（は）く。,0,0,False
中身,なかみ,Bên trong,N2,段（だん）ボールから中身（なかみ）を出（だ）して、引き出（ひきだ）しに入（い）れる。,0,0,False
さっさと＜する＞,さっさと＜する＞,Mau chóng,N2,さっさと荷物（にもつ）を片付（かたづ）けて、のんびりしたい。,0,0,False
吊るす,つるす,Treo,N2,クローゼットに服（ふく）を吊（つ）るす。,0,0,False
まさに,まさに,"Đúng là, chính xác, đúng là",N2,①この部屋（へや）は駅（えき）が近（ちか）いし家賃（やちん）も安（やす）い。まさに理想（りそう）的（てき）だ。,0,0,False
居心地,いごこち,"Ở cảm thấy thoải mái, dễ chịu",N2,今度（こんど）の部屋（へや）は、とても居心地（いごこち）がいい。,0,0,False
